File Name,Version,Size,Number of Smells,Churn,Max Churn,Avg Churn,Chg Set Size,Max Chg Set Size,Avg Chg Set Size,LOC Added,MAX LOC Added,AVG LOC Added,Number of Revisions,Number of Authors,Age in Weeks,Total Lines Touched,Weighted Age,Number of bugs
src/main/java/org/apache/tika/parser/microsoft/ExcelExtractor.java,0.2,397,2,0,0,0,71,71,71,397,397,397,0,0,67,794,0.084382872,No
src/main/java/org/apache/tika/parser/pkg/tar/TarConstants.java,0.2,160,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,No
src/test/java/org/apache/tika/mime/PatternsTest.java,0.2,72,0,0,0,0,71,71,71,72,72,72,0,0,49,144,0.340277778,No
src/main/java/org/apache/tika/parser/txt/TXTParser.java,0.2,53,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/main/java/org/apache/tika/sax/BodyContentHandler.java,0.2,85,0,0,0,0,71,71,71,85,85,85,0,0,34,170,0.2,No
src/main/java/org/apache/tika/parser/xml/DcXMLParser.java,0.2,64,2,0,0,0,0,0,0,0,0,0,0,0,46,0,0,No
src/main/java/org/apache/tika/parser/pkg/Bzip2Parser.java,0.2,78,0,0,0,0,71,71,71,78,78,78,0,0,67,156,0.429487179,No
src/main/java/org/apache/tika/sax/xpath/CompositeMatcher.java,0.2,61,2,0,0,0,71,71,71,61,61,61,0,0,45,122,0.368852459,No
src/main/java/org/apache/tika/exception/TikaException.java,0.2,32,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,No
src/main/java/org/apache/tika/mime/Magic.java,0.2,82,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/test/java/org/apache/tika/parser/pkg/ZipParserTest.java,0.2,69,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,No
src/main/java/org/apache/tika/mime/MimeTypesFactory.java,0.2,81,2,0,0,0,0,0,0,0,0,0,0,0,57,0,0,No
src/main/java/org/apache/tika/sax/WriteOutContentHandler.java,0.2,93,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/main/java/org/apache/tika/parser/pkg/ZipParser.java,0.2,66,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/main/java/org/apache/tika/sax/xpath/ElementMatcher.java,0.2,31,2,0,0,0,71,71,71,31,31,31,0,0,77,62,1.241935484,No
src/main/java/org/apache/tika/mime/MediaType.java,0.2,196,2,0,0,0,71,71,71,196,196,196,0,0,30,392,0.076530612,No
src/main/java/org/apache/tika/sax/xpath/TextMatcher.java,0.2,31,2,0,0,0,71,71,71,31,31,31,0,0,77,62,1.241935484,No
src/main/java/org/apache/tika/metadata/TikaMimeKeys.java,0.2,29,2,0,0,0,0,0,0,0,0,0,0,0,77,0,0,No
src/main/java/org/apache/tika/parser/AutoDetectParser.java,0.2,164,2,0,0,0,0,0,0,0,0,0,0,0,59,0,0,No
src/main/java/org/apache/tika/sax/xpath/MatchingContentHandler.java,0.2,117,2,0,0,0,71,71,71,117,117,117,0,0,45,234,0.192307692,No
src/main/java/org/apache/tika/sax/TextContentHandler.java,0.2,54,0,-7,0,-7,71,71,71,47,47,47,0,0,67,101,0.663366337,No
src/main/java/org/apache/tika/parser/pdf/PDF2XHTML.java,0.2,168,2,0,0,0,0,0,0,0,0,0,0,0,55,0,0,No
src/main/java/org/apache/tika/sax/XHTMLContentHandler.java,0.2,139,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,No
src/test/java/org/apache/tika/parser/opendocument/OpenOfficeParserTest.java,0.2,62,0,0,0,0,71,71,71,62,62,62,0,0,59,124,0.475806452,No
src/main/java/org/apache/tika/parser/microsoft/OutlookExtractor.java,0.2,97,2,0,0,0,71,71,71,97,97,97,0,0,11,194,0.056701031,No
src/main/java/org/apache/tika/parser/ErrorParser.java,0.2,38,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/main/java/org/apache/tika/parser/pkg/bzip2/BZip2Constants.java,0.2,111,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,No
src/main/java/org/apache/tika/parser/audio/AudioParser.java,0.2,85,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,No
src/main/java/org/apache/tika/parser/pkg/TarParser.java,0.2,68,0,0,0,0,71,71,71,68,68,68,0,0,67,136,0.492647059,No
src/main/java/org/apache/tika/parser/pkg/bzip2/CBZip2InputStream.java,0.2,985,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,No
src/main/java/org/apache/tika/cli/TikaCLI.java,0.2,187,2,0,0,0,71,71,71,187,187,187,0,0,44,374,0.117647059,No
src/main/java/org/apache/tika/gui/ParsingTransferHandler.java,0.2,117,2,0,0,0,71,71,71,117,117,117,0,0,45,234,0.192307692,No
src/main/java/org/apache/tika/sax/xpath/XPathParser.java,0.2,114,2,0,0,0,71,71,71,114,114,114,0,0,45,228,0.197368421,No
src/main/java/org/apache/tika/parser/xml/MetadataHandler.java,0.2,63,2,0,0,0,71,71,71,63,63,63,0,0,45,126,0.357142857,No
src/test/java/org/apache/tika/parser/AutoDetectParserTest.java,0.2,213,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,No
src/main/java/org/apache/tika/mime/HexCoDec.java,0.2,119,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/main/java/org/apache/tika/utils/ParseUtils.java,0.2,253,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/test/java/org/apache/tika/metadata/TestMetadata.java,0.2,211,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,No
src/main/java/org/apache/tika/parser/html/HtmlParser.java,0.2,193,2,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/main/java/org/apache/tika/metadata/SpellCheckedMetadata.java,0.2,152,2,0,0,0,0,0,0,0,0,0,0,0,77,0,0,No
src/test/java/org/apache/tika/parser/ParsingReaderTest.java,0.2,71,0,-2,0,-2,71,71,71,69,69,69,0,0,25,140,0.178571429,No
src/main/java/org/apache/tika/mime/MimeType.java,0.2,407,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/main/java/org/apache/tika/config/TikaConfig.java,0.2,159,2,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/main/java/org/apache/tika/gui/TikaGUI.java,0.2,270,2,0,0,0,71,71,71,270,270,270,0,0,45,540,0.083333333,No
src/main/java/org/apache/tika/parser/microsoft/LinkedCell.java,0.2,40,2,0,0,0,71,71,71,40,40,40,0,0,77,80,0.9625,No
src/test/java/org/apache/tika/parser/html/HtmlParserTest.java,0.2,137,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,No
src/test/java/org/apache/tika/parser/pkg/GzipParserTest.java,0.2,69,0,0,0,0,71,71,71,69,69,69,0,0,13,138,0.094202899,No
src/main/java/org/apache/tika/mime/MimeTypesReader.java,0.2,281,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/main/java/org/apache/tika/metadata/MSOffice.java,0.2,50,2,0,0,0,0,0,0,0,0,0,0,0,77,0,0,No
src/main/java/org/apache/tika/parser/pkg/bzip2/CRC.java,0.2,143,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,No
src/main/java/org/apache/tika/sax/xpath/NamedElementMatcher.java,0.2,48,2,0,0,0,71,71,71,48,48,48,0,0,45,96,0.46875,No
src/main/java/org/apache/tika/sax/TeeContentHandler.java,0.2,121,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,No
src/main/java/org/apache/tika/parser/Parser.java,0.2,49,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/test/java/org/apache/tika/sax/xpath/XPathParserTest.java,0.2,121,0,0,0,0,71,71,71,121,121,121,0,0,45,242,0.185950413,No
src/main/java/org/apache/tika/metadata/CreativeCommons.java,0.2,34,2,0,0,0,0,0,0,0,0,0,0,0,77,0,0,No
src/main/java/org/apache/tika/mime/MagicMatch.java,0.2,186,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/main/java/org/apache/tika/sax/xpath/SubtreeMatcher.java,0.2,56,0,0,0,0,71,71,71,56,56,56,0,0,45,112,0.401785714,No
src/main/java/org/apache/tika/parser/image/ImageParser.java,0.2,58,0,0,0,0,71,71,71,58,58,58,0,0,30,116,0.25862069,No
src/main/java/org/apache/tika/parser/ExternalParser.java,0.2,141,2,0,0,0,71,71,71,141,141,141,0,0,20,282,0.070921986,No
src/main/java/org/apache/tika/metadata/DublinCore.java,0.2,160,2,0,0,0,0,0,0,0,0,0,0,0,77,0,0,No
src/test/java/org/apache/tika/parser/image/ImageParserTest.java,0.2,87,0,0,0,0,71,71,71,87,87,87,0,0,30,174,0.172413793,No
src/main/java/org/apache/tika/parser/opendocument/OpenOfficeMetaParser.java,0.2,72,2,-1,0,-1,71,71,71,71,71,71,0,0,45,143,0.314685315,No
src/main/java/org/apache/tika/parser/html/XHTMLDowngradeHandler.java,0.2,77,2,0,0,0,71,71,71,77,77,77,0,0,10,154,0.064935065,No
src/main/java/org/apache/tika/mime/MimeTypeException.java,0.2,52,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/test/java/org/apache/tika/mime/TestMimeTypes.java,0.2,144,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/main/java/org/apache/tika/utils/RereadableInputStream.java,0.2,263,2,0,0,0,0,0,0,0,0,0,0,0,61,0,0,No
